5066029	4381395	14.7	85095	pepperoni
958308	4094819	19.37	76485	bbqchicken
6515641	6997178	17.43	28567	cheese
9298627	1930944	14.71	41675	supreme
4565387	9583086	19.05	83336	meatlovers
3753496	5569598	14.45	83546	meatlovers
4528492	6371068	18.2	59647	meatlovers
4683596	3257273	19.91	76485	hawaiian
6964782	7693764	17.75	83336	margherita
2928106	2578508	15.34	28567	margherita
1956857	8811413	16.18	11182	buffalo
273143	6726086	14.78	15459	cheese
2628999	2299182	21.46	85095	hawaiian
1089057	7249812	15.83	15459	supreme
2564849	6782284	21.42	39918	supreme
2917385	3578280	17.7	83546	pepperoni
9732534	2421032	14.17	12234	meatlovers
6503968	5349229	19.23	43174	cheese
2332130	7402250	16.81	85095	margherita
4011255	8292398	19.59	83336	cheese
8760430	6524373	16.13	85387	hawaiian
8674972	5864648	16.21	76485	supreme
740423	8091182	20.74	83336	bbqchicken
1631353	8836828	17.52	83546	hawaiian
3661487	2107718	21.63	66956	cheese
208992	697947	19.46	21550	supreme
1485813	5724185	18.27	21550	supreme
767087	3525181	17.03	44481	cheese
5650133	8718302	17.87	43174	bbqchicken
7327457	9059256	18.3	76485	buffalo
7771302	1030413	21.36	85387	hawaiian
8508910	1315309	19.19	39918	meatlovers
8972794	1538882	16.09	39918	buffalo
5257773	4710655	21.56	66956	meatlovers
8756115	386870	19.69	69561	meatlovers
1799663	1396785	14.94	44481	supreme
2594937	6666325	18.7	85918	bbqchicken
2550998	7153648	21.19	44481	meatlovers
6481259	677668	20.01	41675	pepperoni
6272290	4626571	19.86	69561	pepperoni
2374277	706820	21.61	39918	sausage
2400076	596146	18.07	37740	meatlovers
2272111	4620076	15.03	77959	margherita
5914964	7925817	16.8	43174	meatlovers
5470974	2123159	20.18	69561	supreme
8260925	962783	17.44	64195	buffalo
5683686	8609209	21.42	85387	bbqchicken
5378407	5713523	14.82	44481	sausage
6323074	254179	14.96	85918	meatlovers
2567408	1423417	17.88	37740	margherita
2074502	369605	20.93	21550	sausage
2332240	6503141	21.38	85387	meatlovers
3526886	1156142	14.11	85095	bbqchicken
7100018	43034	21.89	69561	hawaiian
5997938	467613	18.33	11182	pepperoni
9822436	8589805	21.43	39918	bbqchicken
7532624	8072886	19.42	76485	cheese
7240356	9678926	18.58	69561	sausage
7252187	6867582	20.58	39918	bbqchicken
1529753	5169571	14.83	41675	bbqchicken
3826732	2068824	15.61	77959	buffalo
2799760	4617791	16.12	64195	sausage
4807063	5319970	14.35	41675	sausage
4274572	5946354	16	44481	meatlovers
2221442	2714647	17.1	83336	cheese
2088135	869681	21	21550	meatlovers
