5066029	15792	14.7	c
958308	78764	19.37	c
6515641	59083	17.43	c
9298627	96530	14.71	c
4565387	72730	19.05	c
3753496	82947	14.45	c
4528492	53951	18.2	c
4683596	94837	19.91	c
6964782	45409	17.75	c
2928106	62312	15.34	c
1956857	22461	16.18	c
273143	77087	14.78	c
2628999	47211	21.46	c
1089057	27992	15.83	c
2564849	13865	21.42	c
2917385	45880	17.7	c
9732534	69200	14.17	c
6503968	49427	19.23	c
2332130	62583	16.81	c
4011255	89722	19.59	c
8760430	37209	16.13	c
8674972	3550	16.21	c
740423	90584	20.74	c
1631353	58380	17.52	c
3661487	89723	21.63	c
208992	84411	19.46	c
1485813	56257	18.27	c
767087	96934	17.03	c
5650133	83888	17.87	c
7327457	18225	18.3	c
7771302	2201	21.36	c
8508910	35199	19.19	c
8972794	96403	16.09	c
5257773	13942	21.56	c
8756115	33321	19.69	c
1799663	10037	14.94	c
2594937	44378	18.7	c
2550998	23742	21.19	c
6481259	43284	20.01	c
6272290	10224	19.86	c
2374277	65395	21.61	c
2400076	17765	18.07	c
2272111	74640	15.03	c
5914964	40903	16.8	c
5470974	23009	20.18	c
8260925	64682	17.44	c
5683686	4977	21.42	c
5378407	7900	14.82	c
6323074	59380	14.96	c
2567408	85039	17.88	c
2074502	31050	20.93	c
2332240	88901	21.38	c
3526886	90346	14.11	c
7100018	79608	21.89	c
5997938	42795	18.33	c
9822436	96859	21.43	c
7532624	82633	19.42	c
7240356	6144	18.58	c
7252187	81664	20.58	c
1529753	95598	14.83	c
3826732	43734	15.61	c
2799760	30372	16.12	c
4807063	73356	14.35	c
4274572	62519	16	c
2221442	87794	17.1	c
2088135	27975	21	c
8828474	17441	19.97	c
4062962	83437	20.66	c
9920170	75347	16.91	c
8381225	84999	16.84	c
5425736	74600	18.88	c
9853233	5755	17.19	c
5338144	7619	16.53	c
5386434	81089	21.88	c
56264	3618	15.72	c
4242781	23033	15.87	c
7425043	89802	14.82	c
280315	69479	14.99	c
7082547	75260	17.02	c
3230850	76722	19.97	c
4527822	66704	21.47	c
8218761	34213	14.21	c
9615803	81926	21.83	c
2032071	63238	14.59	c
3481252	44402	16.46	c
550740	69283	19.92	c
3103754	550	15.57	c
6461699	92047	19.61	c
9607921	43601	14.89	c
5991218	7968	19.08	c
2552630	85871	14.67	c
3834686	73764	20.79	c
4380385	2041	17.4	c
6895898	60227	18.57	c
757374	44420	19.82	c
7934754	29202	15.05	c
6002125	63669	20.1	c
5705344	66999	19.18	c
5160982	64037	18.12	c
1566493	62080	21.71	c
9793580	1091	14.78	c
1531084	44424	19.17	c
659469	60672	15.78	c
2260493	75144	18.56	c
5742275	76214	20.02	c
7573989	82484	16.09	c
5204964	42222	20.69	c
8854083	54060	20.64	c
7417452	74492	17.05	c
4027928	17387	15.96	c
7725207	97433	14.95	c
8271718	65995	21.98	c
5457469	80259	17.66	c
9994907	56624	15.31	c
4462173	40143	16.28	c
2121277	26977	20.29	c
3757876	97080	15.91	c
220333	20276	14.58	c
5502257	50260	17.26	c
570418	96244	19.48	c
5484095	86070	19.12	c
8700519	96753	14.69	c
5464551	33456	19.52	c
2391699	23139	15.91	c
271313	47775	17.91	c
3130651	48161	18.52	c
9912901	1709	17.11	c
185574	68568	15.38	c
437317	59189	16.93	c
5873605	84264	20.86	c
3221663	90015	20.69	c
8440604	64675	16.3	c
5558163	94294	17.28	c
2243378	19832	20.14	c
6835294	11036	17.33	c
3765786	42328	16.53	c
2789896	16681	14.07	c
5875032	59741	15.88	c
1133841	49032	16.57	c
9108033	20153	19.79	c
700885	80147	17.95	c
1890538	11459	21.22	c
42591	10911	16.07	c
1723596	76142	20.29	c
6014962	22320	20.75	c
1443378	40305	20.68	c
9323344	63688	14.84	c
3172054	88618	21.75	c
6903927	61567	18.37	c
4453753	89444	21.82	c
9676652	83303	17.51	c
2308202	68637	18.18	c
8855970	52481	18.02	c
8314906	87340	17.48	c
5647284	7096	16.12	c
8077863	90790	15.25	c
5646161	67777	16.75	c
9649869	48055	17.48	d
1852623	27314	14.06	d
2564854	76079	20	d
1237500	16352	21.34	d
9176789	91493	20.9	d
3407595	96507	14.44	d
5126734	83631	16.02	d
3585126	59856	19.9	d
3833266	62017	17.65	d
776915	39437	14.29	d
2822388	75593	17.3	d
1603742	51539	14.56	d
5306423	52996	16.68	d
4089724	83843	15.5	d
5844640	47113	21.61	d
1446055	27282	14.96	d
8452798	20099	19.28	d
4094997	22050	18.6	d
8045215	79152	19.86	d
7214760	3749	15.76	d
4387995	86810	21.98	d
2375591	84524	18.04	d
5608490	62426	19.85	d
4098095	71118	14.52	d
5541066	47577	19.87	d
752538	30520	14.94	d
9750086	57974	21.85	d
9837729	5910	15.68	d
4451787	17846	21.88	c
5908574	17144	14.28	c
5861878	84217	21.86	c
1926689	23081	14.25	c
5487197	90805	18.68	c
9265201	90028	17.45	c
8923462	67239	17.12	c
5651454	3546	18.76	c
5665915	44663	20.64	c
803937	98968	18.99	c
175955	71282	18.91	c
3261077	59370	21.75	c
466339	93036	17.61	c
6193453	26276	21.82	d
8439826	46120	18.66	d
